Voltage (V),Current (A)
5.83,2.504025e-06
5.84,2.512181e-06
5.8500000000000005,2.516439e-06
5.86,2.522675e-06
5.87,2.525866e-06
5.88,2.533547e-06
5.89,2.539873e-06
5.9,2.543472e-06
5.91,2.546606e-06
5.92,2.553502e-06
5.93,2.558793e-06
5.94,2.562715e-06
5.95,2.569311e-06
5.96,2.577386e-06
5.97,2.580902e-06
5.98,2.588483e-06
5.99,2.593859e-06
6.0,2.597131e-06
6.01,2.606666e-06
6.0200000000000005,2.615312e-06
6.03,2.619174e-06
6.04,2.623101e-06
6.05,2.630281e-06
6.0600000000000005,2.635554e-06
6.07,2.642886e-06
6.08,2.650244e-06
6.09,2.657704e-06
6.1000000000000005,2.66284e-06
6.11,2.667232e-06
6.12,2.669393e-06
6.13,2.670404e-06
6.140000000000001,2.678588e-06
6.15,2.683908e-06
6.16,2.692416e-06
6.17,2.694793e-06
6.18,2.705591e-06
6.19,2.716214e-06
6.2,2.717125e-06
6.21,2.719508e-06
6.22,2.727347e-06
6.23,2.736946e-06
6.24,2.737362e-06
6.25,2.74796e-06
6.26,2.74812e-06
6.2700000000000005,2.757809e-06
6.28,2.756661e-06
6.29,2.763551e-06
6.3,2.767475e-06
6.3100000000000005,2.773581e-06
6.32,2.780296e-06
6.33,2.788762e-06
6.34,2.797204e-06
6.3500000000000005,2.796027e-06
6.36,2.802462e-06
6.37,2.806095e-06
6.38,2.805633e-06
6.390000000000001,2.814289e-06
6.4,2.813991e-06
6.41,2.821047e-06
6.42,2.823595e-06
6.43,2.824148e-06
6.44,2.830403e-06
6.45,2.833081e-06
6.46,2.844151e-06
6.47,2.841971e-06
6.48,2.849633e-06
6.49,2.857746e-06
6.5,2.86489e-06
6.51,2.868947e-06
6.5200000000000005,2.878022e-06
6.53,2.882417e-06
6.54,2.8829e-06
6.55,2.891678e-06
6.5600000000000005,2.898477e-06
6.57,2.901772e-06
6.58,2.904459e-06
6.59,2.912723e-06
6.6000000000000005,2.918164e-06
6.61,2.921344e-06
6.62,2.931106e-06
6.63,2.929145e-06
6.640000000000001,2.933158e-06
6.65,2.942846e-06
6.66,2.950824e-06
6.67,2.953625e-06
6.68,2.961191e-06
6.69,2.962093e-06
6.7,2.967484e-06
6.71,2.971826e-06
6.72,2.973594e-06
6.73,2.976833e-06
6.74,2.983849e-06
6.75,2.988484e-06
6.76,2.993061e-06
6.7700000000000005,3.002212e-06
6.78,3.007521e-06
6.79,3.013886e-06
6.8,3.019228e-06
6.8100000000000005,3.019294e-06
6.82,3.024973e-06
6.83,3.033626e-06
6.84,3.035237e-06
6.8500000000000005,3.044208e-06
6.86,3.045618e-06
6.87,3.049647e-06
6.88,3.057821e-06
6.890000000000001,3.056061e-06
6.9,3.066596e-06
6.91,3.072797e-06
6.92,3.074292e-06
6.93,3.079738e-06
6.94,3.088166e-06
6.95,3.094613e-06
6.96,3.104661e-06
6.97,3.099802e-06
6.98,3.110905e-06
6.99,3.108459e-06
7.0,3.114908e-06
7.01,3.119196e-06
7.0200000000000005,3.124343e-06
7.03,3.127061e-06
7.04,3.137407e-06
7.05,3.142568e-06
7.0600000000000005,3.145865e-06
7.07,3.148744e-06
7.08,3.146289e-06
7.09,3.163215e-06
7.1000000000000005,3.163339e-06
7.11,3.160491e-06
7.12,3.171573e-06
7.13,3.179989e-06
7.140000000000001,3.179272e-06
7.15,3.183971e-06
7.16,3.191642e-06
7.17,3.186022e-06
7.18,3.183153e-06
7.19,3.199806e-06
7.2,3.199117e-06
7.21,3.211421e-06
7.22,3.218716e-06
7.23,3.220273e-06
7.24,3.220463e-06
7.25,3.222493e-06
7.26,3.223849e-06
7.2700000000000005,3.232159e-06
7.28,3.234906e-06
7.29,3.229821e-06
7.3,3.235244e-06
7.3100000000000005,3.241487e-06
7.32,3.24672e-06
7.33,3.255905e-06
7.34,3.259371e-06
7.3500000000000005,3.266983e-06
7.36,3.279002e-06
7.37,3.285119e-06
7.38,3.289211e-06
7.390000000000001,3.284741e-06
7.4,3.291393e-06
7.41,3.295334e-06
7.42,3.307887e-06
7.43,3.30687e-06
7.44,3.309459e-06
7.45,3.315437e-06
7.46,3.315914e-06
7.47,3.323915e-06
7.48,3.322378e-06
7.49,3.329458e-06
7.5,3.337506e-06
7.51,3.346657e-06
7.5200000000000005,3.351373e-06
7.53,3.352555e-06
7.54,3.340442e-06
7.55,3.349976e-06
7.5600000000000005,3.360036e-06
7.57,3.372268e-06
7.58,3.376656e-06
7.59,3.385102e-06
7.6000000000000005,3.393379e-06
7.61,3.397622e-06
7.62,3.401426e-06
7.63,3.408161e-06
7.640000000000001,3.41188e-06
7.65,3.411494e-06
7.66,3.41039e-06
7.67,3.421183e-06
7.68,3.427458e-06
7.69,3.433974e-06
7.7,3.437498e-06
7.71,3.433516e-06
7.72,3.446307e-06
7.73,3.450656e-06
7.74,3.464555e-06
7.75,3.470943e-06
7.76,3.461684e-06
7.7700000000000005,3.466859e-06
7.78,3.468474e-06
7.79,3.483646e-06
7.8,3.476324e-06
7.8100000000000005,3.482415e-06
7.82,3.494349e-06
7.83,3.494317e-06
7.84,3.496367e-06
7.8500000000000005,3.498565e-06
7.86,3.502827e-06
7.87,3.512189e-06
7.88,3.508087e-06
7.890000000000001,3.511009e-06
7.9,3.523867e-06
7.91,3.524431e-06
7.92,3.528764e-06
7.930000000000001,3.545556e-06
7.94,3.550503e-06
7.95,3.553212e-06
7.96,3.556083e-06
7.97,3.55678e-06
7.98,3.564738e-06
7.99,3.56744e-06
8.0,3.566164e-06
8.01,3.572388e-06
8.02,3.576083e-06
8.03,3.580456e-06
8.040000000000001,3.588437e-06
8.05,3.588751e-06
8.06,3.585515e-06
8.07,3.591569e-06
8.08,3.600949e-06
8.09,3.596848e-06
8.1,3.601221e-06
8.11,3.595257e-06
8.120000000000001,3.602406e-06
8.13,3.610795e-06
8.14,3.609093e-06
8.15,3.62036e-06
8.16,3.626893e-06
8.17,3.638692e-06
8.18,3.637185e-06
8.19,3.645701e-06
8.2,3.646191e-06
8.21,3.644611e-06
8.22,3.646861e-06
8.23,3.654094e-06
8.24,3.662113e-06
8.25,3.669405e-06
8.26,3.672384e-06
8.27,3.677926e-06
8.28,3.686652e-06
8.290000000000001,3.684606e-06
8.3,3.683657e-06
8.31,3.689618e-06
8.32,3.692429e-06
8.33,3.691008e-06
8.34,3.697222e-06
8.35,3.704954e-06
8.36,3.706959e-06
8.370000000000001,3.727597e-06
8.38,3.724726e-06
8.39,3.724723e-06
8.4,3.73031e-06
8.41,3.739558e-06
8.42,3.740093e-06
8.43,3.74618e-06
8.44,3.747713e-06
8.45,3.754852e-06
8.46,3.757993e-06
8.47,3.764356e-06
8.48,3.765121e-06
8.49,3.77317e-06
8.5,3.771934e-06
8.51,3.780635e-06
8.52,3.768771e-06
8.53,3.776395e-06
8.540000000000001,3.783218e-06
8.55,3.784407e-06
8.56,3.782638e-06
8.57,3.782131e-06
8.58,3.783455e-06
8.59,3.795344e-06
8.6,3.799747e-06
8.61,3.803267e-06
8.620000000000001,3.805936e-06
8.63,3.812509e-06
8.64,3.818567e-06
8.65,3.825563e-06
8.66,3.82512e-06
8.67,3.821466e-06
8.68,3.83193e-06
8.69,3.82805e-06
8.700000000000001,3.833262e-06
8.71,3.835119e-06
8.72,3.844116e-06
8.73,3.847727e-06
8.74,3.846981e-06
8.75,3.856201e-06
8.76,3.852628e-06
8.77,3.860261e-06
8.78,3.870255e-06
8.790000000000001,3.86634e-06
8.8,3.870854e-06
8.81,3.875564e-06
8.82,3.87657e-06
8.83,3.876899e-06
8.84,3.88837e-06
8.85,3.875464e-06
8.86,3.897208e-06
8.870000000000001,3.89422e-06
8.88,3.898293e-06
8.89,3.902057e-06
8.9,3.905764e-06
8.91,3.905282e-06
8.92,3.907432e-06
8.93,3.912436e-06
8.94,3.916171e-06
8.950000000000001,3.922994e-06
8.96,3.929871e-06
8.97,3.929553e-06
8.98,3.934853e-06
8.99,3.936945e-06
9.0,3.931401e-06
9.01,3.941226e-06
9.02,3.938467e-06
9.03,3.944653e-06
9.040000000000001,3.952377e-06
9.05,3.953614e-06
9.06,3.940705e-06
9.07,3.963903e-06
9.08,3.966378e-06
9.09,3.961428e-06
9.1,3.970727e-06
9.11,3.967979e-06
9.120000000000001,3.967046e-06
9.13,3.980922e-06
9.14,3.978402e-06
9.15,3.980118e-06
9.16,3.985536e-06
9.17,3.983058e-06
9.18,3.984314e-06
9.19,3.998841e-06
9.200000000000001,3.9992e-06
9.21,4.004219e-06
